CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
833;ABOBRINHA CASERTA ITALIANA 5GR FELTRIN;3;4,5;50;
3280;ABOBRINHA PIRA MOITA 2,50GR FELTRIN;1,8;2,7;50;
7493;ABRACADEIRA DE NYLON PRETA 14CM C/100UN;4,78;7,2;0;
7495;ABRACADEIRA DE NYLON PRETA 20CM C/100UN;6,31;9,5;0;
3418;ABRACADEIRA DE NYLON PRETA 20CM C/100UN;7,75;12,4;0;
8641;ABRACADEIRA NYLON BRANC 2,5MMX150MM 100U;6,15;9,99;62,44;
8056;ABRACADEIRA NYLON BRANC 2,5MMX200MM 100U;8,76;14,25;62,67;
16844;ABRACADEIRA NYLON BRANC 2,5MMX200MM 100U MELFI;5,08;8,5;67,32;
8640;ABRACADEIRA NYLON BRANC 3,6MMX100MM 100U;4,64;7;50,86;
16850;ABRACADEIRA NYLON BRANC 3,6MMX200MM 100U MELFI;8,13;12,99;59,78;
8642;ABRACADEIRA NYLON BRANC 3,6MMX300MM 100U;20,29;31;52,78;
8643;ABRACADEIRA NYLON BRANC 4,8MMX200MM 100U;9,73;15,6;60,33;
10443;ABRACADEIRA NYLON BRANC 4,8MMX350MM 100U;31,6;48;51,9;
10444;ABRACADEIRA NYLON BRANC 4,8MMX400MM 100U;25,43;38;49,43;
15257;ABRACADEIRA NYLON BRANC.3,6MMX250MM 100U FERTAK;8,65;13,99;61,73;
16040;ABRACADEIRA NYLON BRANC.3,6MMX250MM 100UN MELFI;8,06;12,9;60,05;
16041;ABRACADEIRA NYLON BRANC.3,6MMX300MM 100UN MELFI;12,97;20,75;59,98;
